task,group,run_id,excluded,classification,effective,turns,edit_rounds,contract_accepted,contract_backend,patch_nonempty,tests_pass,paired_speedup,heldout_semantic_pass,prompt_tokens,completion_tokens,outcome_sha256,semantic_audit_sha256
28064,b1_ordinary,formal-01,False,effective_patch,True,12,2,True,thread,True,True,2.6615523611720575,,218303,6188,12d03b52b196050e4afcfb2db64c25e71675f486c962c7a99bf27be4bde9455c,
28064,b1_ordinary,formal-02,True,infrastructure_excluded,False,,0,True,thread,False,False,,,0,0,34a2d163942a28f6afa79b1cba29930f1ae1b857da2b5344cac9c2bb874af7c1,
28064,b1_ordinary,formal-03,False,structural_failure_then_fallback,False,13,4,True,thread,False,True,,,195921,4263,49b505793a3d27854866157351c30477ce7694d80ec4f5e9f4295ec92b3a9c47,
28064,b1_ordinary,formal-04,False,correctness_failure_then_fallback,False,13,4,True,thread,False,True,,,228804,3257,2dc5548b0614791aa0fae1b3ff83156bd81e0a2bdf57f38645d5aa0ee121fbed,
28064,b2_location,formal-01,False,structural_failure_then_fallback,False,13,4,True,process,False,True,,,195808,4572,968c7b0d11ec8d12b739d843ee7bffd8ec081ae36d2b0bc529ad652597d7a6f4,
28064,b2_location,formal-02,False,structural_failure_then_fallback,False,13,4,True,thread,False,True,,,189726,3360,f8223c66a548c5ac811fee6c124e57379ce39058f1e10529e229554e4cb5562d,
28064,b2_location,formal-03,False,correctness_failure_then_fallback,False,13,4,True,thread,False,True,,,162778,2254,216209d1bda55cfc55849534a339e4ba0e4085b85edc89dd3febdda631f90c47,
28064,b3_boundary,formal-01,False,correctness_failure_then_fallback,False,13,4,True,thread,False,True,,,188672,2387,957cd237642157b342480064c9b6f192fdbb224cc9bf70f860c56bced0032288,
28064,b3_boundary,formal-02,False,structural_failure_then_fallback,False,13,4,True,thread,False,True,,,189568,3937,8a9174edb8f62f30af3b0985a944c216257968e4b14f5e82366ad71053d4cf47,
28064,b3_boundary,formal-03,False,correctness_failure_then_fallback,False,13,4,True,thread,False,True,,,222186,2915,bcb8ba7e489820114461d57362b15ef8f907ecb91396b4c0aa44c34794954af9,
29330,b1_ordinary,formal-01,False,structural_failure_then_fallback,False,13,3,True,thread,False,True,,,189894,2330,9cb386ffb485321b36abe9b1185cd6cb2f46fe7c404dc0091cb7c344440bd894,
29330,b1_ordinary,formal-02,False,no_candidate_edit,False,12,0,True,thread,False,True,,,200388,19701,54229368752884c2c8131d69a64bc45ac3a2f3320818d133341f52b68fef593a,
29330,b1_ordinary,formal-03,False,correctness_failure_then_fallback,False,13,3,True,thread,False,True,,,200221,1839,4f4fdfb73e4416636f0e7344cb588f4f61f9a6ff56bb9b18afa5ec23a96616be,
29330,b2_location,formal-01,False,correctness_failure_then_fallback,False,13,4,True,thread,False,True,,,206910,2937,f941ff99c34360a245f2d489c3e698cd46e8bb7b998c4d1020db4eae6224029c,
29330,b2_location,formal-02,False,no_candidate_edit,False,12,0,False,,False,True,,,150690,4120,a7f4d8dcea3e3abe57679549f655ad8cd5c47ab581056e69925cdde080caf7ff,
29330,b2_location,formal-03,False,semantic_regression_after_metric_pass,False,12,3,True,thread,True,True,91.2251740080127,False,144830,2720,23a60ca996465ff6582419b41d95e504ff5a2582a718b8a104f087660b536270,d88203dd119c08790c80cbf54bcf0fa46e4af85cadcea78e07ca6e94f9da9ffc
29330,b3_boundary,formal-01,False,structural_failure_then_fallback,False,13,4,True,thread,False,True,,,169857,2788,e5d60864d86f6607fedc0d6dba714a7c432a63b38801c78ccfc026c4eebd236a,
29330,b3_boundary,formal-02,False,no_candidate_edit,False,12,0,False,,False,True,,,155233,4179,2ddf6216907d371df5034f23379eac9f0906939bc507b588ff65f9daf8affca8,
29330,b3_boundary,formal-03,False,no_candidate_edit,False,12,0,False,,False,True,,,155722,5113,e82a03908921e8351867c7a1f537f7f7880b86946ae3298b95fa37f5d0c4e3f4,
